"Clé","Name (English)","اسم (العربية)","Nom (français)","ISO","Propriétaire (Id)","Propriétaire (Nom)"
"27679949","Khéreiddine Pacha","خير الدين باشا","Khéreiddine Pacha","","1159","Délégation de Cité El Khadhra"
"27679959","Ali Belhouane","علي بلهوان","Ali Belhouane","","1159","Délégation de Cité El Khadhra"
"27679969","Farhat Hached","فرحات حشاد","Farhat Hached","","1159","Délégation de Cité El Khadhra"
"27679979","El Bouhaira","البحيرة","El Bouhaira","","1159","Délégation de Cité El Khadhra"
"27679989","Hay es salem","حي السلام","Hay es salem","","1159","Délégation de Cité El Khadhra"
"1160","Delegation of Le Bardo","معتمدية  باردو","Délégation de Le Bardo","","11","Gouvernorat de Tunis"
"27679999","Le Bardo","باردو","Le Bardo","","1160","Délégation de Le Bardo"
"27680009","Le Bardo Nord","باردو الشمالي","Le Bardo Nord","","1160","Délégation de Le Bardo"
"27680019","Le Bardo Sud","باردو الجنوبي","Le Bardo Sud","","1160","Délégation de Le Bardo"
"27680029","El Hadika","الحديقة","El Hadika","","1160","Délégation de Le Bardo"
"27680039","Bou-Choucha","بوشوشة","Bou-Choucha","","1160","Délégation de Le Bardo"
"27680049","Bonne Residence","الإقامة الطيبة","Bonne Residence","","1160","Délégation de Le Bardo"
"27680059","Khaznadar","خزندار","Khaznadar","","1160","Délégation de Le Bardo"
"27680069","El Fath","الفتح","El Fath","","1160","Délégation de Le Bardo"
"27680079","Ksar-Saïd","قصر السعيد","Ksar-Saïd","","1160","Délégation de Le Bardo"
"27680089","Ksar-Saïd II","قصر السعيد الثاني","Ksar-Saïd II","","1160","Délégation de Le Bardo"
"27680099","El Bassatine","البساتين","El Bassatine","","1160","Délégation de Le Bardo"
"27680109","Es-Säada","السعادة","Es-Säada","","1160","Délégation de Le Bardo"
"27680119","Ksar-El Bortal","قصر البرطال","Ksar-El Bortal","","1160","Délégation de Le Bardo"
"27680129","Ibn Sina","إبن سيناء","Ibn Sina","","1160","Délégation de Le Bardo"
"1161","Delegation of Sijoumi","معتمدية  السيجومي","Délégation de Sijoumi","","11","Gouvernorat de Tunis"
"27680139","Cité Helel","حي هلال","Cité Helel","","1161","Délégation de Sijoumi"
"27680149","Ali Belhouane","علي البلهوان","Ali Belhouane","","1161","Délégation de Sijoumi"
"27680159","En-Najah","النجاح","En-Najah","","1161","Délégation de Sijoumi"
"27680169","CIté des Martyrs","حي الشهداء","CIté des Martyrs","","1161","Délégation de Sijoumi"
"27680179","Bir anniba","بئر عنيبة","Bir anniba","","1161","Délégation de Sijoumi"
"27680189","Mellassine","الملاسين","Mellassine","","1161","Délégation de Sijoumi"
"1162","Delegation of Ezzouhour","معتمدية  الزهور","Délégation de Ezzouhour","","11","Gouvernorat de Tunis"
"27680199","Ezzouhour","الزهور","Ezzouhour","","1162","Délégation de Ezzouhour"
"27680209","Ezzouhour IV","الزهور الرابع","Ezzouhour IV","","1162","Délégation de Ezzouhour"
"27680219","Es-Säada","السعادة","Es-Säada","","1162","Délégation de Ezzouhour"
"27680229","Es-Soumrane","السمران","Es-Soumrane","","1162","Délégation de Ezzouhour"
"27680239","Cité Tayarane","حي الطيران","Cité Tayarane","","1162","Délégation de Ezzouhour"
"27680249","Bach-Hamba","باش حانبة","Bach-Hamba","","1162","Délégation de Ezzouhour"
"1163","Delegation of El Hrairia","معتمدية  الحرايرية","Délégation de El Hrairia","","11","Gouvernorat de Tunis"
"27680259","El-Hraïria","الحرايرية","El-Hraïria","","1163","Délégation de El Hrairia"
"27680269","Ezzouhour V","الزهور الخامس","Ezzouhour V","","1163","Délégation de El Hrairia"
"27680279","El Akba","العقبة","El Akba","","1163","Délégation de El Hrairia"
